Disease,Symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4,,Disease and Description,Description,Symptoms,General Explanation,Medical Explanation
allergy,"continuous sneezing,shivering,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,Hypoglycemia, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,Blood in stool,"This means seeing blood mixed with your bowel movements, either bright red blood or dark, tarry stool. It can be alarming and indicates bleeding somewhere in the digestive tract.","Medically, blood in stool (known as hematochezia for bright red blood or melena for dark, tarry stool) is a critical symptom requiring investigation. The color of the blood often indicates the location of the bleeding: Bright Red Blood (Hematochezia): Usually indicates bleeding from the lower gastrointestinal (GI) tract (colon, rectum, anus). Common causes include: Hemorrhoids: Swollen blood vessels in the rectum or anus. Anal fissures: Small tears in the lining of the anus. Diverticulosis/Diverticulitis: Small pouches in the colon that can bleed or become inflamed. Colitis: Inflammation of the colon (e.g., ulcerative colitis, Crohn's disease, infectious colitis). Polyps or Cancer: Growths in the colon or rectum. Dark, Tarry Stool (Melena): Usually indicates bleeding from the upper GI tract (esophagus, stomach, duodenum). The blood has been digested, giving it the dark, sticky appearance. Common causes include: Peptic ulcers: Sores in the stomach or duodenum. Gastritis: Inflammation of the stomach lining. Esophageal varices: Enlarged veins in the esophagus (often due to liver disease). Mallory-Weiss tear: Tear in the lining of the esophagus from forceful vomiting. Any visible blood in stool, or unexplained dark stools, warrants immediate medical evaluation."
allergy,"shivering,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",Bloody sputum,"Coughing up mucus or phlegm that contains blood. The blood can be streaks, spots, or more significant amounts.","Medically known as hemoptysis, this symptom signifies bleeding from the respiratory tract (lungs or airways). It's crucial to differentiate it from blood originating from the nose or gastrointestinal tract. Potential causes include: Infections: Bronchitis: Inflammation of the bronchial tubes. Pneumonia: Lung infection. Tuberculosis (TB): A serious bacterial infection affecting the lungs. Bronchiectasis: Chronic widening of the airways, leading to mucus buildup and infections. Lung cancer: Malignant growths in the lungs. Pulmonary embolism: A blood clot in the lungs. Heart failure: Can cause fluid buildup in the lungs. Trauma: Injury to the chest or airways. Foreign body aspiration. Certain medical procedures (e.g., bronchoscopy). Less commonly, conditions like autoimmune diseases or bleeding disorders. Hemoptysis always requires urgent medical assessment."
allergy,"continuous sneezing,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",Blurred vision,"Difficulty seeing fine details, making objects appear hazy, fuzzy, or out of focus. It can affect one or both eyes.","Blurred vision (often referred to as blurry vision or reduced visual acuity) can be a symptom of a wide range of ocular (eye) or systemic (body-wide) conditions. Common causes include: Refractive errors: Nearsightedness (myopia), farsightedness (hyperopia), astigmatism, presbyopia (age-related difficulty focusing up close). These are corrected with glasses or contact lenses. Eye conditions: Cataracts: Clouding of the eye's natural lens. Glaucoma: Damage to the optic nerve, often due to high eye pressure. Macular degeneration: Damage to the central part of the retina. Diabetic retinopathy: Damage to blood vessels in the retina due to diabetes. Retinal detachment: A medical emergency where the retina separates from its underlying support tissue. Corneal abrasions or infections. Optic neuritis: Inflammation of the optic nerve (can be associated with multiple sclerosis). Systemic conditions: Diabetes: Can affect the eyes in various ways. Stroke or transient ischemic attack (TIA). Migraine headaches. High blood pressure. Brain tumors. Certain medications as a side effect."
allergy,"continuous sneezing,shivering,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",Breathlessness,"Feeling like you can't get enough air, or a sense of tightness in the chest, even with minimal exertion or at rest. It's also known as shortness of breath.","Medically termed dyspnea, breathlessness is a subjective sensation of uncomfortable breathing. It's a common symptom and can indicate serious underlying issues involving the respiratory, cardiovascular, or other systems. Potential causes include: Respiratory (Lung) Conditions: Asthma: Chronic inflammatory airway disease causing bronchospasm. Chronic Obstructive Pulmonary Disease (COPD): Includes emphysema and chronic bronchitis, often due to smoking. Pneumonia: Lung infection. Pulmonary embolism: Blood clot in the lungs. Pneumothorax: Collapsed lung. Pleural effusion: Fluid around the lungs. Lung cancer. Cardiovascular (Heart) Conditions: Heart failure: The heart can't pump enough blood, leading to fluid buildup in the lungs. Coronary artery disease/Angina: Reduced blood flow to the heart muscle. Arrhythmias: Irregular heartbeats. Heart attack. Other Causes: Anemia: Low red blood cell count, reducing oxygen carrying capacity. Anxiety/Panic attacks: Can cause hyperventilation and a feeling of breathlessness. Obesity: Can make breathing more difficult. Deconditioning: Lack of physical fitness. Kidney failure (fluid overload)."
allergy,"continuous sneezing,shivering,chills",apply calamine,cover area with bandage,,use ice to compress itching,,Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",Brittle nails,"Nails that are easily chipped, cracked, or broken, and may appear thin or peel in layers.","Medically known as onychoscopy, brittle nails (onychorrhexis or onychoschizia) can be a sign of various underlying issues, though they are often benign. Causes include: Environmental Factors: Frequent exposure to water: Repeated wetting and drying (e.g., frequent handwashing, swimming). Exposure to harsh chemicals: Cleaning products, nail polish removers. Trauma: Repeated minor injury to the nails. Dry air/Low humidity. Nutritional Deficiencies: Iron deficiency anemia: Often accompanied by other symptoms like fatigue, pallor. Biotin deficiency (less common cause). Zinc deficiency. Medical Conditions: Hypothyroidism: Underactive thyroid gland (other symptoms include fatigue, weight gain, cold intolerance). Raynaud's phenomenon: Reduced blood flow to the fingers and toes. Psoriasis: A chronic autoimmune skin condition that can affect nails. Fungal nail infections (onychomycosis): Can make nails brittle, thick, and discolored. Aging: Nails naturally become more brittle with age."
allergy,"shivering,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",Bruising,"Discolored patches on the skin that appear when small blood vessels under the skin break, leading to blood leaking into tissues. They start red or purple and change to green, yellow, or brown as they heal.","Medically, a bruise is a contusion. While often caused by trauma, easy or unexplained bruising can be a significant symptom. The formation of a bruise involves damage to capillaries, followed by extravasation of blood into the interstitial tissue. Causes include: Trauma/Injury: The most common cause, from bumps or falls. Coagulation Disorders: Problems with blood clotting. Platelet disorders: Low platelet count (thrombocytopenia) or dysfunctional platelets (e.g., due to medications like aspirin). Coagulation factor deficiencies: Conditions like hemophilia, von Willebrand disease, or liver disease (which impairs clotting factor production). Medications: Anticoagulants (blood thinners): Warfarin, heparin, direct oral anticoagulants (DOACs). Antiplatelet drugs: Aspirin, clopidogrel. Corticosteroids: Can thin the skin and blood vessels. Vascular Fragility: Aging: Skin and blood vessels become more fragile with age. Vitamin C deficiency (Scurvy): Impairs collagen formation, leading to fragile blood vessels. Cushing's syndrome: Excess cortisol can weaken capillaries. Certain genetic conditions. Abuse: Unexplained bruising, especially in unusual patterns or locations, should raise suspicion of physical abuse."
allergy,"continuous sneezing,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,Dimorphic hemorrhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",Burning micturition,"A painful, stinging, or burning sensation when urinating.","Medically known as dysuria, burning micturition is a hallmark symptom of inflammation or infection in the urinary tract or surrounding areas. Common causes include: Urinary Tract Infection (UTI): The most frequent cause, usually a bacterial infection of the urethra (urethritis) or bladder (cystitis). Often accompanied by frequent urination, urgency, and cloudy urine. Sexually Transmitted Infections (STIs): Such as gonorrhea, chlamydia, or herpes, which can cause urethritis. Vaginitis: Inflammation of the vagina in women (e.g., yeast infection, bacterial vaginosis) can cause external irritation that feels like burning during urination. Prostatitis: Inflammation of the prostate gland in men. Kidney stones: As they pass through the urinary tract. Interstitial Cystitis: Chronic bladder pain syndrome. Chemical irritation: From soaps, bubble baths, or feminine hygiene products. Urethral stricture: Narrowing of the urethra."
allergy,"continuous sneezing,shivering,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",Chest pain,"Any discomfort, pressure, aching, or sharpness felt in the chest area. It can range from mild to severe and may spread to other areas.","Chest pain is a symptom that can originate from numerous structures within the chest cavity, including the heart, lungs, esophagus, muscles, ribs, and nerves. It's a critical symptom that often warrants immediate medical evaluation, especially if new or severe, due to the possibility of a serious underlying condition. Potential causes include: Cardiovascular (Heart) Causes: Angina: Chest pain due to reduced blood flow to the heart muscle, often during exertion. Myocardial Infarction (Heart Attack): Blockage of a coronary artery, leading to heart muscle damage. Often described as crushing pressure, tightness, or squeezing, radiating to the arm, jaw, or back. Pericarditis: Inflammation of the sac around the heart. Aortic dissection: A tear in the wall of the aorta (a medical emergency). Pulmonary (Lung) Causes: Pleurisy: Inflammation of the lining around the lungs. Pneumonia: Lung infection. Pulmonary embolism: Blood clot in the lungs. Pneumothorax: Collapsed lung. Gastrointestinal Causes: Gastroesophageal Reflux Disease (GERD)/Heartburn: Acid reflux from the stomach. Esophageal spasm: Spasms of the esophageal muscles. Peptic ulcer disease. Musculoskeletal Causes: Costochondritis: Inflammation of the cartilage connecting ribs to the breastbone. Muscle strain: From exercise or injury. Rib fracture. Other Causes: Anxiety/Panic attacks: Can mimic heart attack symptoms. Shingles (Herpes Zoster): Viral infection causing painful rash."
allergy,"continuous sneezing,shivering,chills",apply calamine,cover area with bandage,,use ice to compress itching,,Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",Chills,"A sudden feeling of coldness, often accompanied by shivering and goosebumps, even when in a warm environment. It's the body's way of trying to generate heat.","Medically, chills (or rigors when severe and accompanied by shivering) are a common non-specific symptom, most often associated with fever and infection. They occur when the body's core temperature set point in the hypothalamus (the brain's thermostat) is reset to a higher level, causing the body to try to increase its temperature. This involves: Vasoconstriction: Narrowing of blood vessels in the skin to reduce heat loss, making one feel cold. Muscle contractions: Shivering to generate heat. Common causes include: Infections: Viral (common cold, flu, COVID-19), bacterial (pneumonia, UTI, cellulitis, sepsis), parasitic (malaria). Inflammation: Non-infectious inflammatory conditions. Drug reactions: Some medications can cause chills. Exposure to cold: Though usually transient. Hypoglycemia: Low blood sugar."
allergy,"continuous sneezing,shivering,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",Cold hands,"Hands that consistently feel unusually cold to the touch, sometimes accompanied by paleness or numbness.","Chronically cold hands can indicate issues with circulation or nerve function. Potential medical causes include: Raynaud's Phenomenon: A common condition where small arteries in the fingers (and sometimes toes) spasm in response to cold or stress, dramatically reducing blood flow. The digits may turn white, then blue, then red as blood flow returns, often with numbness, tingling, or pain. It can be primary (idiopathic) or secondary to underlying conditions (e.g., autoimmune diseases like scleroderma, lupus). Peripheral Artery Disease (PAD): Although more common in legs, severe PAD can affect blood flow to the arms and hands. Hypothyroidism: Underactive thyroid can slow metabolism and reduce body temperature, leading to cold extremities. Anemia: Reduced oxygen delivery to tissues can make extremities feel cold. Poor Circulation/Atherosclerosis: Narrowing of blood vessels due to plaque buildup. Nerve Damage: Damage to nerves that control blood vessel constriction/dilation. Certain Medications: Beta-blockers, decongestants. Smoking: Nicotine constricts blood vessels. Stress/Anxiety: Can temporarily cause vasoconstriction. I will continue with the next set of symptoms. Please let me know if these explanations are clear and helpful! Sure, I'll continue with the next batch of symptoms from your list."
gerd,"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",Coma,"A deep state of unconsciousness where a person is unresponsive to their environment, cannot be awakened, and does not respond to pain, light, or sound.","Medically, a coma is a profound state of unresponsiveness from which the patient cannot be aroused, even by powerful stimulation. It results from widespread disruption of brain function, typically affecting either the reticular activating system (RAS) in the brainstem (which controls wakefulness) or both cerebral hemispheres (the thinking parts of the brain). It is a medical emergency. Common causes include: Traumatic Brain Injury (TBI): Severe head trauma. Stroke: Ischemic (blood clot) or hemorrhagic (bleeding) in the brain. Lack of Oxygen: Such as from cardiac arrest or drowning. Severe Infections: Encephalitis (brain inflammation), meningitis (inflammation of brain/spinal cord membranes), sepsis. Toxins/Drugs: Drug overdose, alcohol poisoning, exposure to certain poisons. Metabolic Disorders: Severe hypoglycemia (low blood sugar), uncontrolled diabetes (diabetic ketoacidosis, hyperosmolar hyperglycemic state), severe electrolyte imbalances, liver failure, kidney failure. Brain Tumors: Pressing on vital brain areas. Seizures: Prolonged or severe seizures (status epilepticus). Hypothermia/Hyperthermia: Extremely low or high body temperature."
gerd,"stomach pain,ulcers on tongue,vomiting,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",Congestion,"A feeling of fullness or blockage, most commonly in the nose or chest, making it difficult to breathe easily.","Medically, ""congestion"" typically refers to the swelling of tissues due to fluid accumulation or increased blood flow, leading to obstruction or pressure. Nasal Congestion (Rhinitis): Swelling of the nasal passages due to inflamed blood vessels and mucus buildup. Common causes include: Common cold/Flu: Viral infections. Allergies: Allergic rhinitis (hay fever). Sinusitis: Inflammation of the sinuses. Non-allergic rhinitis: Irritants, hormonal changes. Chest Congestion: Accumulation of mucus and fluid in the airways and lungs. Common causes include: Bronchitis: Inflammation of the bronchial tubes. Pneumonia: Lung infection. Asthma: Inflammation and narrowing of airways. COPD (Chronic Obstructive Pulmonary Disease). Heart Failure: Can lead to fluid buildup in the lungs (pulmonary congestion). Other forms: Vascular congestion (e.g., venous insufficiency), hepatic congestion (liver congestion due to heart failure)."
gerd,"stomach pain,acidity,vomiting,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",Constipation,"Having infrequent bowel movements, difficulty passing stool, or feeling like you haven't fully emptied your bowels. Stools are often hard and dry.","Medically, constipation is defined as having fewer than three bowel movements per week, or difficulty and straining during defecation. It's a common digestive issue. Causes include: Dietary Factors: Low fiber intake, insufficient fluid intake. Lack of Physical Activity. Medications: Opioids, antacids with aluminum/calcium, iron supplements, certain antidepressants, antihistamines, diuretics. Ignoring the Urge to Defecate: Can lead to stool hardening. Medical Conditions: Irritable Bowel Syndrome (IBS-C): Constipation-predominant IBS. Hypothyroidism: Slows down body functions. Diabetes. Neurological disorders: Parkinson's disease, multiple sclerosis, spinal cord injury. Obstructive causes: Tumors, strictures (narrowing) in the colon (less common but serious). Structural abnormalities: Rectocele, anal fissure (painful defecation leads to avoidance). Pregnancy. Changes in routine (travel, stress)."
